Latitude,Longitude,Title,Description,Emoji,Timestamp
49.25498858492143,11.445556674152614,asd,asd,😊,2024-09-27T19:20:42.797Z
-23.499522879177913,126.00000053644183,gta,adventure,❤️,2024-09-27T19:20:42.797Z
49.198934922087126,46.5468755364418,fff,fff,😊,2024-09-27T19:20:42.797Z
34.65489930099977,31.781250536441807,fww,asd,😊,2024-09-27T19:20:42.797Z
42.60485378822427,90.84375053644182,gg,gg,😊,2024-09-27T19:20:42.797Z
32.130965663918616,84.97265651822092,yyh,hcvc,🎉,2024-09-27T19:20:42.797Z
67.77768807423453,-41.203126609325416,www,www,😊,2024-09-27T19:20:42.797Z
44.289256227934274,-95.83593696355821,asd,asd,❤️,2024-09-27T19:20:42.797Z
64.59372792248097,-111.65624946355821,vdv,vdfv,❤️,2024-09-27T19:20:42.797Z
11.798533631154974,9.984375536441805,asx,xas,😊,2024-09-27T19:20:42.798Z
7.989606647172556,32.48437553644181,casc,sad,😢,2024-09-27T19:20:42.798Z
16.90548006395843,19.828125536441807,sad,cry,😢,2024-09-27T19:20:42.798Z
58.06235143712969,56.26187896741613,great walk,had snacks there felt happy,😊,2024-09-27T19:20:41.862Z
